item_id;pedido_id;produto_id;produto;categoria;fornecedor_id;fornecedor;quantidade;valor_unitario_tabela;desconto_pct;valor_pago_unitario;valor_pago_total
1;1;5;Mousepad Grande;Acessórios;3;Prime Eletrônicos;2;39.9;0.05;37.9;75.8
2;2;10;SSD 480GB SATA;Armazenamento;2;Mega Componentes;2;259.9;0.03;252.1;504.2
3;2;2;Teclado Membrana ABNT2;Periféricos;1;TechDistribuidora Brasil;1;89.9;0.08;82.71;82.71
4;3;3;Headset Gamer P2;Periféricos;5;FastHardware;2;159.9;0;159.9;319.8
5;4;1;Mouse Óptico USB;Periféricos;1;TechDistribuidora Brasil;1;49.9;0;49.9;49.9
6;5;19;"Monitor LED 21.5""";Monitores;8;Brasil Monitores;1;679.9;0.08;625.51;625.51
7;6;17;Processador Ryzen 5;Componentes;5;FastHardware;1;799.9;0.03;775.9;775.9
8;6;25;Roteador Wi-Fi AC1200;Rede;6;Connect Rede;2;249.9;0.08;229.91;459.82
9;7;1;Mouse Óptico USB;Periféricos;1;TechDistribuidora Brasil;1;49.9;0.05;47.4;47.4
10;7;3;Headset Gamer P2;Periféricos;5;FastHardware;1;159.9;0.1;143.91;143.91
11;7;27;Placa de Rede PCIe;Rede;6;Connect Rede;1;79.9;0.08;73.51;73.51
12;8;1;Mouse Óptico USB;Periféricos;1;TechDistribuidora Brasil;1;49.9;0.03;48.4;48.4
13;9;5;Mousepad Grande;Acessórios;3;Prime Eletrônicos;1;39.9;0;39.9;39.9
14;10;2;Teclado Membrana ABNT2;Periféricos;1;TechDistribuidora Brasil;1;89.9;0;89.9;89.9
15;11;8;Suporte Articulado para Monitor;Acessórios;7;OfficeTech Supply;1;149.9;0.12;131.91;131.91
16;11;5;Mousepad Grande;Acessórios;3;Prime Eletrônicos;4;39.9;0;39.9;159.6
17;11;10;SSD 480GB SATA;Armazenamento;2;Mega Componentes;1;259.9;0;259.9;259.9
18;12;28;Repetidor Wi-Fi;Rede;6;Connect Rede;1;139.9;0.03;135.7;135.7
19;13;20;"Monitor IPS 24""";Monitores;8;Brasil Monitores;1;899.9;0.03;872.9;872.9
20;13;5;Mousepad Grande;Acessórios;3;Prime Eletrônicos;1;39.9;0.05;37.9;37.9
21;13;25;Roteador Wi-Fi AC1200;Rede;6;Connect Rede;1;249.9;0;249.9;249.9
22;14;18;Cooler para Processador;Componentes;2;Mega Componentes;2;99.9;0.08;91.91;183.82
23;15;28;Repetidor Wi-Fi;Rede;6;Connect Rede;1;139.9;0;139.9;139.9
24;15;5;Mousepad Grande;Acessórios;3;Prime Eletrônicos;1;39.9;0;39.9;39.9
25;15;27;Placa de Rede PCIe;Rede;6;Connect Rede;1;79.9;0;79.9;79.9
26;15;25;Roteador Wi-Fi AC1200;Rede;6;Connect Rede;2;249.9;0;249.9;499.8
27;16;2;Teclado Membrana ABNT2;Periféricos;1;TechDistribuidora Brasil;1;89.9;0.1;80.91;80.91
28;16;5;Mousepad Grande;Acessórios;3;Prime Eletrônicos;1;39.9;0;39.9;39.9
29;16;1;Mouse Óptico USB;Periféricos;1;TechDistribuidora Brasil;1;49.9;0.08;45.91;45.91
30;16;27;Placa de Rede PCIe;Rede;6;Connect Rede;1;79.9;0;79.9;79.9
31;17;10;SSD 480GB SATA;Armazenamento;2;Mega Componentes;1;259.9;0.05;246.9;246.9
32;17;12;HD Externo 1TB;Armazenamento;4;InfoMax Atacado;1;369.9;0;369.9;369.9
33;18;15;Fonte 500W 80 Plus;Componentes;5;FastHardware;1;289.9;0.08;266.71;266.71
34;19;14;Memória RAM 16GB DDR4;Componentes;2;Mega Componentes;1;319.9;0.08;294.31;294.31
35;20;27;Placa de Rede PCIe;Rede;6;Connect Rede;1;79.9;0;79.9;79.9
36;21;26;Switch 8 Portas Gigabit;Rede;6;Connect Rede;1;189.9;0;189.9;189.9
37;22;8;Suporte Articulado para Monitor;Acessórios;7;OfficeTech Supply;4;149.9;0.03;145.4;581.6
38;22;21;"Monitor Gamer 27""";Monitores;8;Brasil Monitores;1;1599.9;0.1;1439.91;1439.91
39;23;7;Adaptador USB-C HDMI;Acessórios;3;Prime Eletrônicos;3;119.9;0;119.9;359.7
40;23;2;Teclado Membrana ABNT2;Periféricos;1;TechDistribuidora Brasil;1;89.9;0;89.9;89.9
41;23;17;Processador Ryzen 5;Componentes;5;FastHardware;1;799.9;0;799.9;799.9
42;24;14;Memória RAM 16GB DDR4;Componentes;2;Mega Componentes;1;319.9;0.05;303.9;303.9
43;24;19;"Monitor LED 21.5""";Monitores;8;Brasil Monitores;1;679.9;0;679.9;679.9
44;24;18;Cooler para Processador;Componentes;2;Mega Componentes;3;99.9;0;99.9;299.7
45;25;18;Cooler para Processador;Componentes;2;Mega Componentes;1;99.9;0;99.9;99.9
46;26;27;Placa de Rede PCIe;Rede;6;Connect Rede;1;79.9;0;79.9;79.9
47;27;6;Cabo HDMI 2m;Acessórios;3;Prime Eletrônicos;4;29.9;0.08;27.51;110.04
48;27;19;"Monitor LED 21.5""";Monitores;8;Brasil Monitores;1;679.9;0;679.9;679.9
49;27;11;SSD NVMe 500GB;Armazenamento;5;FastHardware;2;329.9;0;329.9;659.8
50;28;3;Headset Gamer P2;Periféricos;5;FastHardware;1;159.9;0;159.9;159.9
51;29;18;Cooler para Processador;Componentes;2;Mega Componentes;1;99.9;0.05;94.91;94.91
52;30;13;Memória RAM 8GB DDR4;Componentes;2;Mega Componentes;1;179.9;0.03;174.5;174.5
53;31;7;Adaptador USB-C HDMI;Acessórios;3;Prime Eletrônicos;1;119.9;0;119.9;119.9
54;32;2;Teclado Membrana ABNT2;Periféricos;1;TechDistribuidora Brasil;1;89.9;0;89.9;89.9
55;33;1;Mouse Óptico USB;Periféricos;1;TechDistribuidora Brasil;1;49.9;0;49.9;49.9
56;34;28;Repetidor Wi-Fi;Rede;6;Connect Rede;1;139.9;0;139.9;139.9
57;35;6;Cabo HDMI 2m;Acessórios;3;Prime Eletrônicos;1;29.9;0.03;29.0;29.0
58;36;28;Repetidor Wi-Fi;Rede;6;Connect Rede;1;139.9;0.05;132.91;132.91
59;37;8;Suporte Articulado para Monitor;Acessórios;7;OfficeTech Supply;5;149.9;0;149.9;749.5
60;37;11;SSD NVMe 500GB;Armazenamento;5;FastHardware;1;329.9;0;329.9;329.9
61;38;1;Mouse Óptico USB;Periféricos;1;TechDistribuidora Brasil;1;49.9;0.08;45.91;45.91
62;39;7;Adaptador USB-C HDMI;Acessórios;3;Prime Eletrônicos;2;119.9;0.03;116.3;232.6
63;39;12;HD Externo 1TB;Armazenamento;4;InfoMax Atacado;3;369.9;0;369.9;1109.7
64;40;17;Processador Ryzen 5;Componentes;5;FastHardware;1;799.9;0;799.9;799.9
65;41;20;"Monitor IPS 24""";Monitores;8;Brasil Monitores;1;899.9;0;899.9;899.9
66;42;27;Placa de Rede PCIe;Rede;6;Connect Rede;1;79.9;0.03;77.5;77.5
67;42;6;Cabo HDMI 2m;Acessórios;3;Prime Eletrônicos;4;29.9;0;29.9;119.6
68;43;2;Teclado Membrana ABNT2;Periféricos;1;TechDistribuidora Brasil;1;89.9;0.03;87.2;87.2
69;44;4;Webcam Full HD;Periféricos;3;Prime Eletrônicos;1;199.9;0;199.9;199.9
70;45;10;SSD 480GB SATA;Armazenamento;2;Mega Componentes;1;259.9;0.05;246.9;246.9
71;45;18;Cooler para Processador;Componentes;2;Mega Componentes;1;99.9;0.1;89.91;89.91
72;46;15;Fonte 500W 80 Plus;Componentes;5;FastHardware;1;289.9;0;289.9;289.9
73;47;4;Webcam Full HD;Periféricos;3;Prime Eletrônicos;1;199.9;0.08;183.91;183.91
74;47;15;Fonte 500W 80 Plus;Componentes;5;FastHardware;1;289.9;0;289.9;289.9
75;47;11;SSD NVMe 500GB;Armazenamento;5;FastHardware;1;329.9;0.1;296.91;296.91
76;48;5;Mousepad Grande;Acessórios;3;Prime Eletrônicos;1;39.9;0;39.9;39.9
77;48;19;"Monitor LED 21.5""";Monitores;8;Brasil Monitores;1;679.9;0;679.9;679.9
78;48;27;Placa de Rede PCIe;Rede;6;Connect Rede;3;79.9;0;79.9;239.7
79;49;17;Processador Ryzen 5;Componentes;5;FastHardware;2;799.9;0.05;759.9;1519.8
80;50;2;Teclado Membrana ABNT2;Periféricos;1;TechDistribuidora Brasil;1;89.9;0;89.9;89.9
81;51;14;Memória RAM 16GB DDR4;Componentes;2;Mega Componentes;1;319.9;0.03;310.3;310.3
82;52;13;Memória RAM 8GB DDR4;Componentes;2;Mega Componentes;1;179.9;0.03;174.5;174.5
83;53;7;Adaptador USB-C HDMI;Acessórios;3;Prime Eletrônicos;3;119.9;0.03;116.3;348.9
84;53;8;Suporte Articulado para Monitor;Acessórios;7;OfficeTech Supply;3;149.9;0.05;142.41;427.23
85;54;6;Cabo HDMI 2m;Acessórios;3;Prime Eletrônicos;1;29.9;0;29.9;29.9
86;55;4;Webcam Full HD;Periféricos;3;Prime Eletrônicos;2;199.9;0;199.9;399.8
87;56;6;Cabo HDMI 2m;Acessórios;3;Prime Eletrônicos;1;29.9;0;29.9;29.9
88;57;28;Repetidor Wi-Fi;Rede;6;Connect Rede;1;139.9;0;139.9;139.9
89;58;25;Roteador Wi-Fi AC1200;Rede;6;Connect Rede;1;249.9;0;249.9;249.9
90;58;10;SSD 480GB SATA;Armazenamento;2;Mega Componentes;1;259.9;0.08;239.11;239.11
91;59;28;Repetidor Wi-Fi;Rede;6;Connect Rede;1;139.9;0.1;125.91;125.91
92;60;8;Suporte Articulado para Monitor;Acessórios;7;OfficeTech Supply;1;149.9;0;149.9;149.9
93;60;2;Teclado Membrana ABNT2;Periféricos;1;TechDistribuidora Brasil;1;89.9;0;89.9;89.9
94;61;14;Memória RAM 16GB DDR4;Componentes;2;Mega Componentes;1;319.9;0;319.9;319.9
95;62;13;Memória RAM 8GB DDR4;Componentes;2;Mega Componentes;1;179.9;0.05;170.91;170.91
96;63;26;Switch 8 Portas Gigabit;Rede;6;Connect Rede;2;189.9;0;189.9;379.8
97;63;6;Cabo HDMI 2m;Acessórios;3;Prime Eletrônicos;1;29.9;0;29.9;29.9
98;64;25;Roteador Wi-Fi AC1200;Rede;6;Connect Rede;3;249.9;0;249.9;749.7
99;65;30;No-break 600VA;Office;7;OfficeTech Supply;3;429.9;0.03;417.0;1251.0
100;66;2;Teclado Membrana ABNT2;Periféricos;1;TechDistribuidora Brasil;2;89.9;0.03;87.2;174.4
101;66;26;Switch 8 Portas Gigabit;Rede;6;Connect Rede;1;189.9;0;189.9;189.9
102;67;28;Repetidor Wi-Fi;Rede;6;Connect Rede;1;139.9;0.03;135.7;135.7
103;68;28;Repetidor Wi-Fi;Rede;6;Connect Rede;1;139.9;0.08;128.71;128.71
104;69;2;Teclado Membrana ABNT2;Periféricos;1;TechDistribuidora Brasil;1;89.9;0;89.9;89.9
105;69;28;Repetidor Wi-Fi;Rede;6;Connect Rede;1;139.9;0.08;128.71;128.71
106;69;20;"Monitor IPS 24""";Monitores;8;Brasil Monitores;1;899.9;0;899.9;899.9
107;70;8;Suporte Articulado para Monitor;Acessórios;7;OfficeTech Supply;4;149.9;0.12;131.91;527.64
108;71;2;Teclado Membrana ABNT2;Periféricos;1;TechDistribuidora Brasil;1;89.9;0.1;80.91;80.91
109;71;5;Mousepad Grande;Acessórios;3;Prime Eletrônicos;4;39.9;0.08;36.71;146.84
110;72;19;"Monitor LED 21.5""";Monitores;8;Brasil Monitores;1;679.9;0;679.9;679.9
111;73;1;Mouse Óptico USB;Periféricos;1;TechDistribuidora Brasil;2;49.9;0;49.9;99.8
112;74;7;Adaptador USB-C HDMI;Acessórios;3;Prime Eletrônicos;1;119.9;0;119.9;119.9
113;75;15;Fonte 500W 80 Plus;Componentes;5;FastHardware;1;289.9;0;289.9;289.9
114;75;2;Teclado Membrana ABNT2;Periféricos;1;TechDistribuidora Brasil;1;89.9;0;89.9;89.9
115;75;28;Repetidor Wi-Fi;Rede;6;Connect Rede;1;139.9;0.03;135.7;135.7
116;75;7;Adaptador USB-C HDMI;Acessórios;3;Prime Eletrônicos;1;119.9;0.03;116.3;116.3
117;76;5;Mousepad Grande;Acessórios;3;Prime Eletrônicos;2;39.9;0.12;35.11;70.22
118;76;6;Cabo HDMI 2m;Acessórios;3;Prime Eletrônicos;2;29.9;0.05;28.4;56.8
119;77;12;HD Externo 1TB;Armazenamento;4;InfoMax Atacado;1;369.9;0.05;351.4;351.4
120;77;5;Mousepad Grande;Acessórios;3;Prime Eletrônicos;3;39.9;0;39.9;119.7
121;78;28;Repetidor Wi-Fi;Rede;6;Connect Rede;1;139.9;0.05;132.91;132.91
122;79;18;Cooler para Processador;Componentes;2;Mega Componentes;1;99.9;0.05;94.91;94.91
123;79;17;Processador Ryzen 5;Componentes;5;FastHardware;2;799.9;0.05;759.9;1519.8
124;79;9;SSD 240GB SATA;Armazenamento;2;Mega Componentes;2;169.9;0;169.9;339.8
125;80;5;Mousepad Grande;Acessórios;3;Prime Eletrônicos;2;39.9;0;39.9;79.8
126;81;5;Mousepad Grande;Acessórios;3;Prime Eletrônicos;3;39.9;0;39.9;119.7
127;81;2;Teclado Membrana ABNT2;Periféricos;1;TechDistribuidora Brasil;1;89.9;0;89.9;89.9
128;81;15;Fonte 500W 80 Plus;Componentes;5;FastHardware;1;289.9;0;289.9;289.9
129;82;5;Mousepad Grande;Acessórios;3;Prime Eletrônicos;1;39.9;0;39.9;39.9
130;82;2;Teclado Membrana ABNT2;Periféricos;1;TechDistribuidora Brasil;1;89.9;0.05;85.41;85.41
131;83;3;Headset Gamer P2;Periféricos;5;FastHardware;2;159.9;0.08;147.11;294.22
132;83;14;Memória RAM 16GB DDR4;Componentes;2;Mega Componentes;1;319.9;0.1;287.91;287.91
133;83;27;Placa de Rede PCIe;Rede;6;Connect Rede;1;79.9;0.08;73.51;73.51
134;83;8;Suporte Articulado para Monitor;Acessórios;7;OfficeTech Supply;4;149.9;0;149.9;599.6
135;84;28;Repetidor Wi-Fi;Rede;6;Connect Rede;1;139.9;0.12;123.11;123.11
136;84;27;Placa de Rede PCIe;Rede;6;Connect Rede;1;79.9;0;79.9;79.9
137;85;5;Mousepad Grande;Acessórios;3;Prime Eletrônicos;3;39.9;0.05;37.9;113.7
138;85;25;Roteador Wi-Fi AC1200;Rede;6;Connect Rede;1;249.9;0.05;237.41;237.41
139;86;7;Adaptador USB-C HDMI;Acessórios;3;Prime Eletrônicos;1;119.9;0;119.9;119.9
140;86;6;Cabo HDMI 2m;Acessórios;3;Prime Eletrônicos;1;29.9;0;29.9;29.9
141;87;1;Mouse Óptico USB;Periféricos;1;TechDistribuidora Brasil;2;49.9;0.05;47.4;94.8
142;87;14;Memória RAM 16GB DDR4;Componentes;2;Mega Componentes;1;319.9;0;319.9;319.9
143;88;4;Webcam Full HD;Periféricos;3;Prime Eletrônicos;2;199.9;0.1;179.91;359.82
144;89;4;Webcam Full HD;Periféricos;3;Prime Eletrônicos;1;199.9;0;199.9;199.9
145;89;5;Mousepad Grande;Acessórios;3;Prime Eletrônicos;2;39.9;0.03;38.7;77.4
146;90;26;Switch 8 Portas Gigabit;Rede;6;Connect Rede;1;189.9;0;189.9;189.9
147;91;1;Mouse Óptico USB;Periféricos;1;TechDistribuidora Brasil;2;49.9;0.03;48.4;96.8
148;92;10;SSD 480GB SATA;Armazenamento;2;Mega Componentes;1;259.9;0.05;246.9;246.9
149;92;1;Mouse Óptico USB;Periféricos;1;TechDistribuidora Brasil;3;49.9;0;49.9;149.7
150;93;27;Placa de Rede PCIe;Rede;6;Connect Rede;2;79.9;0;79.9;159.8
151;93;6;Cabo HDMI 2m;Acessórios;3;Prime Eletrônicos;1;29.9;0;29.9;29.9
152;93;15;Fonte 500W 80 Plus;Componentes;5;FastHardware;1;289.9;0.05;275.4;275.4
153;94;5;Mousepad Grande;Acessórios;3;Prime Eletrônicos;1;39.9;0.05;37.9;37.9
154;95;1;Mouse Óptico USB;Periféricos;1;TechDistribuidora Brasil;1;49.9;0.08;45.91;45.91
155;95;4;Webcam Full HD;Periféricos;3;Prime Eletrônicos;1;199.9;0.03;193.9;193.9
156;95;2;Teclado Membrana ABNT2;Periféricos;1;TechDistribuidora Brasil;1;89.9;0.08;82.71;82.71
157;96;20;"Monitor IPS 24""";Monitores;8;Brasil Monitores;1;899.9;0.03;872.9;872.9
158;96;25;Roteador Wi-Fi AC1200;Rede;6;Connect Rede;2;249.9;0;249.9;499.8
159;97;28;Repetidor Wi-Fi;Rede;6;Connect Rede;2;139.9;0;139.9;279.8
160;97;15;Fonte 500W 80 Plus;Componentes;5;FastHardware;2;289.9;0;289.9;579.8
161;98;1;Mouse Óptico USB;Periféricos;1;TechDistribuidora Brasil;1;49.9;0;49.9;49.9
162;99;18;Cooler para Processador;Componentes;2;Mega Componentes;1;99.9;0.05;94.91;94.91
163;100;4;Webcam Full HD;Periféricos;3;Prime Eletrônicos;2;199.9;0.05;189.91;379.82
164;101;13;Memória RAM 8GB DDR4;Componentes;2;Mega Componentes;1;179.9;0;179.9;179.9
165;102;8;Suporte Articulado para Monitor;Acessórios;7;OfficeTech Supply;1;149.9;0.03;145.4;145.4
166;102;25;Roteador Wi-Fi AC1200;Rede;6;Connect Rede;1;249.9;0.05;237.41;237.41
167;102;18;Cooler para Processador;Componentes;2;Mega Componentes;1;99.9;0;99.9;99.9
168;103;9;SSD 240GB SATA;Armazenamento;2;Mega Componentes;1;169.9;0.05;161.41;161.41
169;103;14;Memória RAM 16GB DDR4;Componentes;2;Mega Componentes;1;319.9;0.1;287.91;287.91
170;103;15;Fonte 500W 80 Plus;Componentes;5;FastHardware;1;289.9;0.03;281.2;281.2
171;104;2;Teclado Membrana ABNT2;Periféricos;1;TechDistribuidora Brasil;1;89.9;0;89.9;89.9
172;104;25;Roteador Wi-Fi AC1200;Rede;6;Connect Rede;1;249.9;0.03;242.4;242.4
173;104;1;Mouse Óptico USB;Periféricos;1;TechDistribuidora Brasil;3;49.9;0.1;44.91;134.73
174;105;10;SSD 480GB SATA;Armazenamento;2;Mega Componentes;2;259.9;0.05;246.9;493.8
175;106;27;Placa de Rede PCIe;Rede;6;Connect Rede;2;79.9;0;79.9;159.8
176;107;29;Impressora Multifuncional;Office;7;OfficeTech Supply;1;699.9;0;699.9;699.9
177;107;4;Webcam Full HD;Periféricos;3;Prime Eletrônicos;1;199.9;0.05;189.91;189.91
178;108;25;Roteador Wi-Fi AC1200;Rede;6;Connect Rede;1;249.9;0;249.9;249.9
179;109;11;SSD NVMe 500GB;Armazenamento;5;FastHardware;2;329.9;0;329.9;659.8
180;109;5;Mousepad Grande;Acessórios;3;Prime Eletrônicos;1;39.9;0;39.9;39.9
181;110;2;Teclado Membrana ABNT2;Periféricos;1;TechDistribuidora Brasil;1;89.9;0.05;85.41;85.41
182;111;9;SSD 240GB SATA;Armazenamento;2;Mega Componentes;1;169.9;0.05;161.41;161.41
183;111;28;Repetidor Wi-Fi;Rede;6;Connect Rede;1;139.9;0;139.9;139.9
184;112;10;SSD 480GB SATA;Armazenamento;2;Mega Componentes;1;259.9;0;259.9;259.9
185;113;13;Memória RAM 8GB DDR4;Componentes;2;Mega Componentes;1;179.9;0;179.9;179.9
186;113;18;Cooler para Processador;Componentes;2;Mega Componentes;1;99.9;0.03;96.9;96.9
187;114;11;SSD NVMe 500GB;Armazenamento;5;FastHardware;2;329.9;0.05;313.4;626.8
188;115;3;Headset Gamer P2;Periféricos;5;FastHardware;1;159.9;0;159.9;159.9
189;115;6;Cabo HDMI 2m;Acessórios;3;Prime Eletrônicos;1;29.9;0;29.9;29.9
190;116;8;Suporte Articulado para Monitor;Acessórios;7;OfficeTech Supply;1;149.9;0.08;137.91;137.91
191;116;3;Headset Gamer P2;Periféricos;5;FastHardware;1;159.9;0.03;155.1;155.1
192;117;4;Webcam Full HD;Periféricos;3;Prime Eletrônicos;1;199.9;0.03;193.9;193.9
193;117;6;Cabo HDMI 2m;Acessórios;3;Prime Eletrônicos;2;29.9;0.03;29.0;58.0
194;117;28;Repetidor Wi-Fi;Rede;6;Connect Rede;1;139.9;0.03;135.7;135.7
195;117;5;Mousepad Grande;Acessórios;3;Prime Eletrônicos;5;39.9;0;39.9;199.5
196;118;26;Switch 8 Portas Gigabit;Rede;6;Connect Rede;1;189.9;0;189.9;189.9
197;118;1;Mouse Óptico USB;Periféricos;1;TechDistribuidora Brasil;1;49.9;0.03;48.4;48.4
